feature	rho	pval	n	note
poly_t_count	-0.11365445202539023	6.386118871365809e-57	19446	
guide_length	-0.10724864303118932	7.564330197371991e-51	19446	
guide_3prime_pos4_C	-0.10296455313199832	5.510782396049409e-47	19446	
ATAC_pm100_p90	0.08372626067874903	1.3467196602158835e-31	19446	
ATAC_pm100_mean	0.08272739390629914	6.939330212384722e-31	19446	
seed_pwm_score	0.07542714900006772	6.114614932104899e-26	19446	
ATAC_pm100_max	0.07385758344749604	6.168779281085923e-25	19446	
guide_3prime_pos4_G	0.06987384518631705	1.7537649897656462e-22	19446	
ccre_PLS	0.0646716285851593	1.760250147822321e-19	19446	
ATAC_pm200_mean	0.06085266322271379	2.0108695556414186e-17	19446	
guide_3prime_pos3_A	0.05886079982499443	2.127495401043559e-16	19446	
pam_pos1_T	-0.056228286752468416	2.1800144636913605e-14	18433	
guide_3prime_pos4_A	0.055464205040788944	9.950761307457905e-15	19446	
guide_3prime_pos3_C	-0.052015541700284315	3.929780666658191e-13	19446	
ATAC_pm200_p90	0.04848723665993263	1.3327528764319575e-11	19446	
guide_3prime_pos1_A	0.04700438121593366	5.456593031911578e-11	19446	
guide_3prime_pos2_C	0.04576459296158163	1.7166903459002e-10	19446	
ATAC_pm200_max	0.044884637458423214	3.80394428336666e-10	19446	
guide_3prime_pos1_C	-0.04443521968896	5.678454120118107e-10	19446	
distance_to_nearest_atac_peak	-0.04188265392695837	5.13680074712352e-09	19446	
ATAC_pm500_mean	0.040717814592181434	1.3465889520009318e-08	19446	
gc_content	0.04058163175607708	1.5046481148073743e-08	19446	
chromhmm_Quies	-0.04011047564807739	2.2029860440606274e-08	19446	
H3K9me3_pm500_mean	0.03717533039672087	2.154145947791696e-07	19446	
phylop100_mean_pm100	0.03702823825648652	2.4045580168480087e-07	19446	
ATAC_pm500_p90	0.03424506586578466	1.7834490252434896e-06	19446	
H3K27ac_pm500_mean	0.03397362638401798	2.15148205710424e-06	19446	
ATAC_pm1000_mean	0.033415199057709455	3.151125478340152e-06	19446	
chromhmm_Tx	-0.032962095390492684	4.276272169991644e-06	19446	
guide_3prime_pos2_T	-0.032472601968228355	5.921517529380218e-06	19446	
H3K9me3_pm1000_mean	0.031387897977874835	1.198802403256307e-05	19446	
ATAC_pm500_max	0.03092924540372884	1.6046891225651812e-05	19446	
guide_3prime_pos2_G	-0.029839349569445187	3.158538513495609e-05	19446	
pam_pos1_G	0.029111045767058637	7.720212435046437e-05	18433	
H3K27ac_pm1000_mean	0.02880458246983272	5.885800287622168e-05	19446	
mfe_rnafold	0.027250877844316086	0.0001443654817524354	19446	
ccre_pELS	-0.027084045691262992	0.000158543535924471	19446	
ATAC_pm1000_p90	0.026563642024623767	0.00021165223786666286	19446	
atac_peak_summit_overlap	0.026366699086278637	0.0002357984780299217	19446	
ATAC_pm1000_max	0.025006972465574512	0.00048752911011031773	19446	
guide_3prime_pos1_T	-0.024674696615312	0.0005792208425032017	19446	
guide_3prime_pos1_G	0.023391525769798947	0.0011056690557337265	19446	
ATAC_pm2000_mean	0.0216089659512368	0.002582487895075833	19446	
