chrom	n_test	ridge_rho	ridge_p	xgb_rho	xgb_p	note	ridge_outlier	xgb_outlier
1	1961	0.30546080974186435	1.2631029902558758e-43	0.3601984800281325	3.824990863356592e-61		False	False
2	1468	0.32309066337107695	5.140583204146267e-37	0.37704854095021223	8.421091533625978e-51		False	False
3	1038	0.29561801203097327	2.2228144692365174e-22	0.4179580842498059	3.793262955424786e-45		False	False
4	750	0.2905980972883894	4.624503494234785e-16	0.36481311467557903	5.030620760249116e-25		False	False
5	958	0.2995702793213796	2.5773238573057627e-21	0.3677781554630172	4.7235338643004673e-32		False	False
6	989	0.3298152775896234	1.588134103124119e-26	0.42657202251862647	5.321027642786191e-45		False	False
7	786	0.2560671283958959	3.1117891257507863e-13	0.3648825117674949	3.6737186029929825e-26		False	False
8	529	0.2481222955999209	7.2943395780545895e-09	0.3495303630372201	1.2025007798538054e-16		False	False
9	830	0.2478698387690049	4.368208140731784e-13	0.36395952965085615	2.132455190988629e-27		False	False
10	790	0.3049770287141878	1.816624384537762e-18	0.41572668600611984	2.3160806484021755e-34		False	False
11	1286	0.25609049441738346	1.0515743976534788e-20	0.3200479679163157	5.117952696397933e-32		False	False
12	914	0.3163089019550848	1.0985742294587683e-22	0.3740047889388192	1.0117971262138326e-31		False	False
13	331	0.34616018090662587	9.463063196214311e-11	0.4154802537396713	3.0236286175468497e-15		False	False
14	806	0.3128865158083344	9.156598493754742e-20	0.35644660412153956	1.4806286032445002e-25		False	False
15	574	0.2371287491608655	8.869543542305396e-09	0.36699879597180385	9.661361923681857e-20		False	False
16	738	0.33681997105056566	4.9167556986988055e-21	0.36670098947994123	6.610372115623166e-25		False	False
17	1337	0.34449021766162213	1.5079653667731598e-38	0.39153668450055684	3.1894583359019244e-50		False	False
18	343	0.27978004608068424	1.377205447571413e-07	0.31693900794982155	1.9269611494468892e-09		False	False
19	1028	0.2551660788025343	9.633374361942207e-17	0.35835257883632815	1.6505449277408033e-32		False	False
20	590	0.33304391759822155	9.499720077586377e-17	0.3981422813738208	7.524797675977414e-24		False	False
21	199	0.3602421623778613	1.7287009975897953e-07	0.4710744727438604	2.1882491954340026e-12		False	True
22	291	0.33859853542676943	3.081557207317664e-09	0.3080480221856306	8.172712984510761e-08		False	False
X	910	0.33903155644066485	6.51651166856151e-26	0.41943053519440837	4.4415395355279095e-40		False	False
