feature	mean_abs_shap	boot_lo	boot_hi
guide_3prime_pos4_C	2.2884483	2.1829294204711913	2.392910408973694
ATAC_pm100_mean	1.9704013	1.8778102546930313	2.0591022312641143
mfe_rnafold	1.8432239	1.6266296058893204	2.0986576080322266
guide_length	1.7226062	1.6172390818595885	1.839181685447693
seed_pwm_score	1.5204844	1.4133214801549911	1.619566521048546
gc_content	1.491027	1.4028057217597962	1.6146373689174653
g_run_max	1.3767014	1.275464081764221	1.4835362643003465
log_dist_nearest_expressed_tss	1.1999501	1.0826026111841203	1.310297456383705
ATAC_pm100_p90	1.0345429	0.9782502114772796	1.0963532954454422
guide_3prime_pos3_C	0.9424367	0.8951950445771217	0.9930609792470932
guide_3prime_pos3_A	0.92415243	0.8611226752400398	1.0114027321338654
tm_santalucia	0.81246305	0.760647089779377	0.8720218688249588
poly_t_count	0.80850893	0.6284111678600312	1.0379463344812394
phylop100_mean_pm100	0.7577662	0.7199088543653488	0.7954293817281723
distance_to_nearest_atac_peak	0.70293695	0.660525481402874	0.7458039581775666
pam_pos1_T	0.665931	0.627677658200264	0.7099622622132301
guide_3prime_pos1_A	0.6298718	0.5831981569528579	0.6668984457850456
log_dist_target_tss	0.62841547	0.5692810043692589	0.6923806622624398
ATAC_pm200_mean	0.5637163	0.5464568063616753	0.5850473284721375
guide_3prime_pos2_G	0.5337568	0.49527016952633857	0.5880262091755867
ccre_PLS	0.5033111	0.48525774478912354	0.5255655139684677
guide_3prime_pos2_C	0.5000842	0.46723859682679175	0.5262349873781205
guide_3prime_pos1_C	0.49025384	0.4672704614698887	0.5151641860604286
guide_3prime_pos4_A	0.44388825	0.4054471604526043	0.47554275542497637
guide_3prime_pos4_T	0.3198814	0.2969727836549282	0.3429324820637703
atac_peak_summit_overlap	0.30234548	0.280154699832201	0.32276815101504325
guide_3prime_pos4_G	0.28034857	0.2687030531466007	0.29202530309557917
guide_3prime_pos1_G	0.27337798	0.25876868441700934	0.2891288548707962
ATAC_pm100_max	0.2616513	0.24273488894104958	0.2856201268732548
guide_3prime_pos2_T	0.25925833	0.23752386048436164	0.2800708614289761
guide_3prime_pos3_G	0.22014694	0.19600832723081113	0.24165089800953865
ATAC_pm200_max	0.20564328	0.19391790442168713	0.21882530078291892
pam_pos1_G	0.18639264	0.17595836892724037	0.19545742981135847
ATAC_pm200_p90	0.1824489	0.16734485030174256	0.19840137623250484
H3K27ac_pm500_mean	0.16591766	0.14655174911022187	0.19008748196065425
H3K9me3_pm500_mean	0.15728803	0.1458906378597021	0.16959748901426794
H3K27ac_pm1000_mean	0.15082525	0.1407251689583063	0.16210988014936448
ATAC_pm5000_max	0.13937074	0.1292834874242544	0.15056741572916507
ATAC_pm5000_mean	0.13567467	0.12602968476712703	0.14389990083873272
H3K4me1_pm2000_mean	0.12169352	0.10850000325590373	0.1328864950686693
H3K4me1_pm500_mean	0.1207929	0.10989190768450499	0.13071700409054757
guide_3prime_pos2_A	0.1085261	0.09903371501713991	0.11931568402796984
ATAC_pm500_mean	0.09537143	0.08832733761519193	0.1021145885810256
guide_3prime_pos3_T	0.09103775	0.08052987810224295	0.10135218892246485
H3K4me3_pm1000_mean	0.090624206	0.08474451713263989	0.09716119002550841
ATAC_pm2000_p90	0.08791556	0.0804147632792592	0.09594401083886624
ATAC_pm5000_p90	0.08173347	0.07162497267127037	0.09329781010746956
H3K4me3_pm500_mean	0.0779475	0.07340686284005642	0.08338997811079026
H3K4me3_pm2000_mean	0.0762449	0.06756763085722924	0.08400921002030373
ATAC_pm2000_mean	0.075259745	0.06813561879098415	0.08316873144358397
ATAC_pm2000_max	0.07303573	0.06894723493605852	0.07751663289964199
ATAC_pm500_max	0.072973356	0.06729198843240738	0.07800639234483242
guide_3prime_pos1_T	0.06626626	0.05963394036516547	0.07425772082060576
H3K27ac_pm2000_mean	0.062243313	0.05478731039911509	0.07093036770820618
ATAC_pm1000_mean	0.061039757	0.05697286780923605	0.06496210340410472
H3K9me3_pm1000_mean	0.05969333	0.05280894134193659	0.0675447378307581
ATAC_pm1000_p90	0.058449414	0.05384507039561868	0.06285963393747807
CTCF_pm1000_mean	0.05702421	0.049226225540041926	0.06794589515775443
H3K4me1_pm1000_mean	0.054136634	0.047588379494845866	0.06083041317760945
ATAC_pm500_p90	0.05083539	0.04519353536888957	0.05838702488690615
H3K9me3_pm2000_mean	0.049940802	0.043316831905394794	0.056403507478535175
dnase_200bp_mean	0.04509507	0.041214116383343935	0.049155705608427525
