feature	mean_abs_shap_loco
guide_3prime_pos4_C	2.376091489216712
ATAC_pm100_mean	1.9433142496650258
guide_length	1.7735616448583194
mfe_rnafold	1.684175166897712
gc_content	1.6054983341867868
seed_pwm_score	1.4810671915428866
g_run_max	1.402636562315559
log_dist_nearest_expressed_tss	1.2755721601927164
ATAC_pm100_p90	0.9596614052666159
guide_3prime_pos3_C	0.9407140923391751
guide_3prime_pos3_A	0.8432795062254944
poly_t_count	0.813963568514127
tm_santalucia	0.7759849446697468
distance_to_nearest_atac_peak	0.6999267626651571
pam_pos1_T	0.673893849433373
guide_3prime_pos2_G	0.631970311868386
guide_3prime_pos1_A	0.619394899183099
phylop100_mean_pm100	0.6101607827618105
log_dist_target_tss	0.5900992709184938
ccre_PLS	0.5775883290392645
guide_3prime_pos1_C	0.5169822799546681
guide_3prime_pos4_A	0.5079659156193319
guide_3prime_pos2_C	0.4976094844278284
ATAC_pm200_mean	0.44186403374157773
guide_3prime_pos4_T	0.29201922010145026
guide_3prime_pos3_G	0.24361185898502508
atac_peak_summit_overlap	0.2383301860290407
ATAC_pm200_p90	0.2273158308733007
guide_3prime_pos4_G	0.22610335609130697
guide_3prime_pos2_T	0.2166477615524866
H3K9me3_pm500_mean	0.21311411646649234
ATAC_pm5000_mean	0.21115798165876926
guide_3prime_pos1_G	0.2034708695373087
ATAC_pm100_max	0.19246075094264367
ATAC_pm200_max	0.1908997056894212
pam_pos1_G	0.16855511185601763
H3K27ac_pm500_mean	0.1351786587386677
H3K4me1_pm2000_mean	0.13420426978235928
ATAC_pm500_mean	0.13365085087766598
H3K27ac_pm1000_mean	0.11777448357969994
H3K4me1_pm500_mean	0.11740486734810353
ATAC_pm2000_p90	0.1008519237229269
ATAC_pm5000_max	0.09649041527586817
ATAC_pm5000_p90	0.09418474489979471
guide_3prime_pos3_T	0.0900520464032285
ATAC_pm500_p90	0.08724817131009689
ATAC_pm2000_mean	0.08701064029157343
ATAC_pm500_max	0.08446778025768298
ATAC_pm2000_max	0.08045378008561294
guide_3prime_pos1_T	0.07908293330876728
CTCF_pm1000_mean	0.07425271647831877
H3K27me3_pm500_mean	0.0720192068534646
H3K9me3_pm1000_mean	0.07131353961169364
dnase_200bp_mean	0.07124026922621077
H3K4me1_pm1000_mean	0.07123710047700679
guide_3prime_pos2_A	0.07100561835818546
ATAC_pm1000_mean	0.07013351062942491
H3K27ac_pm2000_mean	0.06671156938940641
H3K4me3_pm500_mean	0.06612666998581744
ATAC_pm1000_max	0.06352939633298696
H3K27me3_pm1000_mean	0.06326065756251176
H3K9me3_pm2000_mean	0.058643921093487456
H3K4me3_pm2000_mean	0.05795198316543686
ATAC_pm1000_p90	0.05609685138985185
H3K4me3_pm1000_mean	0.055960579022010515
H3K27me3_pm2000_mean	0.049294684229850456
chromhmm_Tss	0.028559410047968734
pam_pos1_A	0.0247706003804131
ccre_pELS	0.0222394515804097
chromhmm_TssFlnkU	0.014197424956581571
pam_pos1_C	0.011256497232172492
chromhmm_TssFlnkD	0.009934186567832919
hic_contact_log	0.00947231313821022
chromhmm_Enh1	0.007666395464380148
chromhmm_TssFlnk	0.00324888399744249
ccre_dELS	0.002387719416706971
hic_within_5kb_tss	0.0021877068209648267
chromhmm_Tx	0.0020508873228811575
chromhmm_TxWk	0.0009697990637691011
chromhmm_Quies	0.000632340026985448
chromhmm_Enh2	0.0005252422823877278
chromhmm_Het	0.0003501709316859063
chromhmm_EnhG2	0.0002988700730726979
chromhmm_Biv	0.0002652944776622377
H3K4me3_missing	6.861729141120604e-05
chromhmm_ReprPC	1.694321162687505e-05
H3K27me3_missing	7.015597959473902e-06
pam_pos2_C	0.0
pam_pos2_G	0.0
pam_is_NGG	0.0
pam_pos2_A	0.0
chromhmm_EnhG1	0.0
chromhmm_ZNF/Rpts	0.0
ccre_CA_CTCF	0.0
log_dist_target_tss_missing	0.0
phylop100_missing	0.0
pam_pos2_T	0.0
pam_pos3_A	0.0
pam_pos3_C	0.0
pam_pos3_G	0.0
pam_pos3_T	0.0
