mark,stat,spearman,pearson,n
ATAC,mean,1.0,1.0,18332
ATAC,max,0.9999999999999998,1.0,18332
ATAC,p90,1.0,1.0,18332
ATAC,sum,1.0,1.0,18332
H3K27ac,mean,0.9999999999961043,1.0,18332
H3K27ac,max,1.0,1.0,18332
H3K27ac,p90,1.0,1.0,18332
H3K27ac,sum,0.9999999997721037,1.0,18332
H3K4me3,mean,0.022225718619532406,0.029029361343530964,17449
H3K4me3,max,0.027236354130384444,0.04260343867927584,17449
H3K4me3,p90,0.021530523183545182,0.03731223108143761,17449
H3K4me3,sum,0.025205571593089105,0.03280085960708409,17449
H3K27me3,mean,0.455483233768507,0.43468114237342215,18073
H3K27me3,max,0.4408267854312542,0.43531709162561416,18073
H3K27me3,p90,0.46093387549941767,0.42475104752832377,18073
H3K27me3,sum,0.4554830057741121,0.4346811423734222,18073
