model,fold,spearman,pearson_r,pearson_r2,r2,rmse
Ridge,1,0.03755287787802108,0.010391246269100285,0.0001079779990250906,-0.0029120693306445844,0.4344100317018033
Ridge,2,0.05124099204378695,0.033391915137376556,0.0011150199965417576,0.0007247894271169564,0.4390197552384383
Ridge,3,0.07148805692247165,0.06391479172539806,0.004085100601301012,0.0025567470043478258,0.43354135087443824
Ridge,4,0.07835958359729898,0.041309023327744485,0.001706435408292138,0.0011064916207041975,0.4351939221103268
Ridge,5,0.061179951001892434,0.03744385467582346,0.0014020422529841862,0.0013893452199302825,0.42726959103540335
Random Forest,1,0.09584042917322172,0.09282764316427536,0.008616971335434037,-0.0718902647764823,0.44910054295827856
Random Forest,2,0.08765785237637647,0.0814562164472721,0.006635115197904843,-0.06032208018552443,0.4522310827956932
Random Forest,3,0.08278823270091669,0.07366752600737554,0.005426904388047352,-0.08377088333668015,0.45191334634685265
Random Forest,4,0.07951664950738799,0.060837199132376875,0.0037011647982724775,-0.10292178764749615,0.4572940851651901
Random Forest,5,0.10698522983525248,0.10120919321182271,0.01024330079058806,-0.07378293571722083,0.4430595848576228
