model,fold,spearman,r2,rmse
Ridge,1,0.2216471944275945,0.05266582159787814,0.42220174114292197
Ridge,2,0.2197684579990029,0.05119897409380103,0.4277884740803584
Ridge,3,0.20847987995461723,0.047488910758591074,0.42366388877332006
Ridge,4,0.22495196213410884,0.0526456769571112,0.423818047772241
Ridge,5,0.1761921004955309,0.035384015308895234,0.4199340731583412
Random Forest,1,0.2365515923741795,0.035161965111721205,0.4260843908522517
Random Forest,2,0.20139867393191077,0.006626269079004654,0.4377214628757663
Random Forest,3,0.20949937123092943,0.01709826883033927,0.43036949247898726
Random Forest,4,0.22318319536740272,0.02878694914404567,0.4291217041584861
Random Forest,5,0.20944105926253617,0.011293216221349156,0.4251455564162227
