fold,rho_linear
1,0.018114065252513054
2,0.008388770511195473
3,0.042813630703911164
4,0.0163152891288577
5,-0.021339683811506905
6,-0.014501120630333405
7,0.06445675625305836
8,0.04061446617099981
9,0.04445537243245816
10,0.08413331674368314
11,0.026476450497656585
12,-0.04987418983281717
13,0.0388125706758995
14,-0.020153213758919732
15,0.0018081004794883355
16,0.01576555546615312
17,0.011130209079821209
18,0.04083190454621944
19,0.04332096358758572
20,0.05768589233389613
21,0.05089946158123556
22,-0.07055131770894059
X,0.04501446092228728
