fold,rho,n
1,0.2938485483049951,513
2,0.30313574421464845,404
3,0.23020200563845425,273
4,0.21714376262946322,201
5,0.23446114180334438,243
6,0.31458150447169503,259
7,0.26641420924200354,185
8,0.4265563718939978,126
9,0.21749691395996737,208
10,0.2412509494486005,202
11,0.24796197445536786,308
12,0.23869440382711157,235
13,0.34811706869163117,103
14,0.2508720336199181,230
15,0.2457654200570884,159
16,0.20507472664997745,199
17,0.17427813436799092,353
18,0.28996320384223073,74
19,0.10452935204185444,266
20,0.2715890729096294,143
21,0.2781815217425683,58
22,0.20507835224411125,80
X,0.34465236702559476,234
