fold,n_test,rho
1,1961,0.40872797200142114
2,1468,0.4658841589807007
3,1038,0.4124244185815947
4,750,0.4750127488297948
5,958,0.49843728816552335
6,989,0.4027320852692779
7,786,0.41510038436544083
8,529,0.4511099670591671
9,830,0.4601761950423842
10,790,0.5065571069373883
11,1286,0.4102851696619476
12,914,0.4042588846011337
13,331,0.404332949457732
14,806,0.43558664703762506
15,574,0.3774313690607071
16,738,0.40819955432872923
17,1337,0.4083136773172749
18,343,0.4100380460615442
19,1028,0.4103525843538848
20,590,0.4198037538867269
21,199,0.5130714774142653
22,291,0.3225211396839845
X,910,0.44277386705623667
