fold,rho
1,0.35937192149071145
2,0.3716397854487477
3,0.4184171919254245
4,0.3664094834777309
5,0.37121823921627084
6,0.4265639872434429
7,0.36285233397913663
8,0.34236264136210676
9,0.36429439824611237
10,0.4167734647810252
11,0.3264331296553731
12,0.37442730374804106
13,0.41470686469111906
14,0.3582411989001726
15,0.3591513014689722
16,0.3674411654175618
17,0.3927043422078627
18,0.31280411481592485
19,0.3507401179419473
20,0.40107962612999065
21,0.4427706024163894
22,0.3104819414173476
X,0.41723087156369615
