feature,mean_abs_shap
nearest_tss_distance,0.042178445
ATAC_mean,0.034259863
guide_length,0.031998415
gc_content,0.031124806
g_run_max,0.02973081
mfe_rnafold,0.029447353
ATAC_max,0.019389747
poly_t_count,0.013709932
H3K27me3_mean,0.012625609
H3K27ac_mean,0.0118610365
H3K4me3_mean,0.011341487
H3K27ac_max,0.010262023
H3K27me3_p90,0.009853765
ATAC_p90,0.009303864
H3K27ac_p90,0.008957008
H3K4me3_p90,0.006858999
H3K27me3_max,0.00647856
H3K4me3_max,0.0049947817
ATAC_sum,0.00028896084
H3K27ac_sum,0.0
H3K4me3_sum,0.0
H3K27me3_sum,0.0
within_promoter_2kb,0.0
