ablation,max_depth,learning_rate,min_child_weight,fold,spearman,r2,rmse
F1,3,0.05,5,1,0.27148844987867987,0.07438150027118662,0.4173346360756561
F1,3,0.05,5,2,0.2672477518270971,0.0732128117404558,0.4227966301460202
F1,3,0.05,5,3,0.2515322439309084,0.06418064809996149,0.41993535383544517
F1,3,0.05,5,4,0.2700549782144408,0.07629842900215844,0.4184938374585422
F1,3,0.05,5,5,0.24081005625797322,0.056921902802125945,0.41521947646589097
F1,3,0.1,5,1,0.2618444262547991,0.06766182987898206,0.4188467492921464
F1,3,0.1,5,2,0.25410247727775603,0.06553515308091185,0.42454427683854673
F1,3,0.1,5,3,0.23920204294142272,0.055470637659716826,0.4218850730506146
F1,3,0.1,5,4,0.2619211390384506,0.07060020674015177,0.4197826760711189
F1,3,0.1,5,5,0.2390546217482402,0.04888240282819312,0.41698554064927007
F1,5,0.05,5,1,0.246906971868875,0.05603111033795094,0.42145116395694854
F1,5,0.05,5,2,0.23372368172263466,0.04964294490065102,0.42813911591320236
F1,5,0.05,5,3,0.2325237204192137,0.05108323783795521,0.42286377951924314
F1,5,0.05,5,4,0.25559667077219744,0.06049931427252986,0.42205765026197894
F1,5,0.05,5,5,0.23426429147702865,0.04465521389003202,0.4179111477880855
F1,5,0.1,5,1,0.23473680836966587,0.04199865195605157,0.42457212450299187
F1,5,0.1,5,2,0.21997387322063283,0.03651196349809893,0.43108674517351214
F1,5,0.1,5,3,0.20867008668700077,0.02846971121495212,0.4278727224720426
F1,5,0.1,5,4,0.24039469642950065,0.04211698215377846,0.42616665222883743
F1,5,0.1,5,5,0.22157109822086601,0.024242141359610225,0.4223523510998666
F1+F2,3,0.05,5,1,0.3016329922781374,0.09099492096673378,0.41357242248395154
F1+F2,3,0.05,5,2,0.28817096742238973,0.0858130681445467,0.4199127009568082
F1+F2,3,0.05,5,3,0.2789876264527266,0.07503946948195606,0.4174918756435477
F1+F2,3,0.05,5,4,0.2812616439164236,0.07998104490716185,0.4176587781453653
F1+F2,3,0.05,5,5,0.2553253843689656,0.06403197400197913,0.4136513001291872
F1+F2,3,0.1,5,1,0.288466418867067,0.07703299065356517,0.41673646719595225
F1+F2,3,0.1,5,2,0.273506777382697,0.07522307648335547,0.42233784383505374
F1+F2,3,0.1,5,3,0.25836132374693416,0.062392728316279955,0.4203363139428916
F1+F2,3,0.1,5,4,0.2669022482400403,0.06845015350162476,0.42026795362539815
F1+F2,3,0.1,5,5,0.24247587648499364,0.04804429440540636,0.41716922042767063
F1+F2,5,0.05,5,1,0.2696519253591385,0.0615929882144417,0.4202077315999212
F1+F2,5,0.05,5,2,0.2595845489574844,0.060959796577082725,0.42558234133437456
F1+F2,5,0.05,5,3,0.24849831352607368,0.05068695818164448,0.4229520669373116
F1+F2,5,0.05,5,4,0.2608220777402973,0.06033759938119265,0.4220939727848184
F1+F2,5,0.05,5,5,0.2372094802164267,0.03942333645485707,0.41905391561746563
F1+F2,5,0.1,5,1,0.24356307821023418,0.02049049677450121,0.42931171913156124
F1+F2,5,0.1,5,2,0.22320184438905497,0.02612998182596149,0.4334030908918223
F1+F2,5,0.1,5,3,0.21882763414041004,0.015558341185509361,0.43070649387018684
F1+F2,5,0.1,5,4,0.23963686572376736,0.027285856381312312,0.4294531982514899
F1+F2,5,0.1,5,5,0.21602619427536143,0.002917181706648342,0.4269426127741584
F1+F2+F3,3,0.05,5,1,0.29513202765883023,0.09057250936693861,0.41366850417919576
F1+F2+F3,3,0.05,5,2,0.2988661249570706,0.08542739174935987,0.42000126782091557
F1+F2+F3,3,0.05,5,3,0.2766224027296321,0.07508892193648664,0.4174807150192401
F1+F2+F3,3,0.05,5,4,0.2879452200404839,0.08160348758754299,0.4172903474546341
F1+F2+F3,3,0.05,5,5,0.2652581751338897,0.0712527762654609,0.41205259306308584
F1+F2+F3,3,0.1,5,1,0.2871055920878072,0.07840847832577014,0.4164258225082192
F1+F2+F3,3,0.1,5,2,0.2738180297010639,0.07094948282090219,0.42331257616387813
F1+F2+F3,3,0.1,5,3,0.25637300594987067,0.060219299625786205,0.4208232140645556
F1+F2+F3,3,0.1,5,4,0.26755488120044824,0.06541127149966441,0.4209528900525532
F1+F2+F3,3,0.1,5,5,0.25035371194810485,0.04998682889541295,0.4167433710846703
F1+F2+F3,5,0.05,5,1,0.27171139806134903,0.06762965434356605,0.4188539765529076
F1+F2+F3,5,0.05,5,2,0.2728549199120075,0.0709548958812316,0.42331134295868195
F1+F2+F3,5,0.05,5,3,0.24412415300649185,0.05225800055923013,0.4226019449366147
F1+F2+F3,5,0.05,5,4,0.25122336244098203,0.05123247021846766,0.4241340432273007
F1+F2+F3,5,0.05,5,5,0.23444215509364547,0.04085165066129126,0.41874224693610645
F1+F2+F3,5,0.1,5,1,0.2546512559882418,0.034392558438816945,0.4262542467402791
F1+F2+F3,5,0.1,5,2,0.23708511859914577,0.029869037807201515,0.43257029142771347
F1+F2+F3,5,0.1,5,3,0.22509504916754788,0.022170098263247895,0.42925769072372016
F1+F2+F3,5,0.1,5,4,0.24032227095803416,0.025475854875596227,0.4298525702954486
F1+F2+F3,5,0.1,5,5,0.22239273800949527,0.014239085573170884,0.42451171957905975
F1+F2+F3+F5,3,0.05,5,1,0.33164148476682975,0.11142927271025238,0.4088974647130936
